S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-2.3993511	0.900016936713149	0.999561101009468	0.98808510638298	mlp
SBS1	npv	0.9	-0.10968256	0.958907442893208	0.988337826822998	0.900107411385607	mlp
SBS2.13	precision	0.9	-0.16870558	0.900010862480991	0.854263326116094	0.844576392325032	mlp
SBS2.13	npv	0.9	-1.1777439	0.811059907834101	0.925456232601299	0.90004838598189	mlp
SBS3	precision	0.9	-0.20858324	0.900006302785831	0.945881495710926	0.664407475867735	mlp
SBS3	npv	0.9	-4.49581	0.826908851812279	0.999668797403372	0.900000000000007	mlp
SBS5	precision	0.9	0.6148898	0.900021048200379	0.845259745394165	0.695313716331932	mlp
SBS5	npv	0.9	-2.8879936	0.716549345948873	0.99403020479165	0.900132275132275	mlp
SBS6	precision	0.9	-37.937958	0.900900900900901	1	1	mlp
SBS6	npv	0.9	1038.9817	1	0.01	0.997267759562842	mlp
SBS17	precision	0.9	-1.8856035	0.900041305245766	0.920704225352113	0.980809871156861	mlp
SBS17	npv	0.9	15.898706	1	0.538591549295775	0.900021356438966	mlp
SBS18	precision	0.9	0.24120712	0.900018021265093	0.898754678951915	0.682362240289069	cnn
SBS18	npv	0.9	-39.706944	0.759187911577452	1	1	cnn
SBS26	precision	0.9	-68.08324	0.900900900900901	1	1	mlp
SBS26	npv	0.9	124.82582	1	0.01	0.997267759562842	mlp
SBS31	precision	0.9	0.8714113	0.902027027027027	0.148333333333333	0.957746866822752	mlp
SBS31	npv	0.9	21.567165	1	0.000555555555555556	0.950819672131147	mlp
SBS44	precision	0.9	-2.9743366	0.99009900990099	1	1	mlp
SBS44	npv	0.9	56.872772	1	0.01	0.997267759562842	mlp
