S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-510.7429	0.907311212814645	1	1	mlp
SBS1	npv	0.9	-49.95194	0.907610250775447	0.999974779000996	0.90624999999997	mlp
SBS2.13	precision	0.9	-0.43766963	0.900007152564194	0.740176470588235	0.939839280849905	mlp
SBS2.13	npv	0.9	1.3771704	0.97914005959983	0.541176470588235	0.900006409845523	mlp
SBS3	precision	0.9	0.17338237	0.900089641056188	0.906687059723223	0.665119713110431	mlp
SBS3	npv	0.9	-2.7059858	0.781358875001437	0.999367619159669	0.900462962962957	mlp
SBS4	precision	0.9	-19.95933	0.900900900900901	1	1	mlp
SBS4	npv	0.9	7842.436	1	0.01	0.998855835240275	mlp
SBS5	precision	0.9	0.4460919	0.900028810782616	0.935317444528442	0.55470034374533	mlp
SBS5	npv	0.9	-57.38832	0.862718399945078	1	1	mlp
SBS6	precision	0.9	-3.5379996	0.900900900900901	1	1	mlp
SBS6	npv	0.9	395.1575	1	0.00333333333333333	0.996567505720824	mlp
SBS17	precision	0.9	-1.4729798	0.90004659832246	0.849010989010989	0.982567212657168	mlp
SBS17	npv	0.9	4455.4263	1	0.0441758241758242	0.900010344946494	mlp
SBS18	precision	0.9	0.1012249	0.900006630860023	0.942582535868554	0.655385128376126	mlp
SBS18	npv	0.9	-1.890503	0.832748375438718	0.99851386824817	0.900000000000001	mlp
SBS33	precision	0.9	-2.7106247	0.900129701686122	0.991428571428571	0.999930739928431	mlp
SBS33	npv	0.9	668.8512	1	0.00142857142857143	0.991990846681922	mlp
SBS44	precision	0.9	-41.999596	0.900252070579762	1	1	mlp
SBS44	npv	0.9	2.4275944	1	1	0.971395881006865	mlp
