S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-0.21442032	0.900015881374	0.969105367500203	0.845854042264097	mlp
SBS1	npv	0.9	-0.68019617	0.855340456067613	0.988274484659547	0.900037674243375	mlp
SBS2.13	precision	0.9	-0.89185524	0.900004548004184	0.88886060787543	0.930455882628492	mlp
SBS2.13	npv	0.9	0.62270975	0.954710989143755	0.828192843240006	0.900001742737143	mlp
SBS3	precision	0.9	0.12584513	0.900003589676092	0.848986963146904	0.849878825958172	mlp
SBS3	npv	0.9	-1.0027221	0.801867669054554	0.919792313335967	0.90000984847419	mlp
SBS5	precision	0.9	1.2381346	0.900001898217574	0.777906299477436	0.59794472742393	mlp
SBS5	npv	0.9	-2.337688	0.729756896167759	0.994626699152577	0.900121988411102	mlp
SBS7	precision	0.9	-4.50877	0.974489795918367	0.996521739130435	0.999953037311856	mlp
SBS7	npv	0.9	10409.8	1	0.000434782608695652	0.986682107701216	mlp
SBS8	precision	0.9	-0.38585424	0.900002878857669	0.948836432890973	0.800248837278194	mlp
SBS8	npv	0.9	-1.8305855	0.796019205056521	0.993808472377137	0.900012253400319	mlp
SBS11	precision	0.9	-28.652235	0.900900900900901	1	1	mlp
SBS11	npv	0.9	6859.515	1	0.01	0.999420961204401	mlp
SBS17	precision	0.9	-2.1237855	0.900004814404699	0.949030358412022	0.993391693543079	mlp
SBS17	npv	0.9	231.408	1	0.137018986699157	0.900001176456748	mlp
SBS18	precision	0.9	0.005339384	0.900004184508948	0.795012382794692	0.8352902740377	mlp
SBS18	npv	0.9	-1.4980757	0.778472745808068	0.903241704759675	0.900002546732542	mlp
SBS26	precision	0.9	-3.4762201	0.995024875621891	1	1	mlp
SBS26	npv	0.9	76.21786	1	0.005	0.998841922408801	mlp
SBS30	precision	0.9	-3.0174475	0.900571428571429	0.985	0.999930161907977	mlp
SBS30	npv	0.9	231.67957	1	0.00125	0.995367689635206	mlp
SBS31	precision	0.9	-2.5211477	0.900320256204964	0.977826086956522	0.999700357808029	mlp
SBS31	npv	0.9	230.79066	1	0.000434782608695652	0.986682107701216	mlp
SBS44	precision	0.9	-2.9623868	0.998572448251249	0.999285714285714	0.999994162288383	mlp
SBS44	npv	0.9	638.40857	1	0.000714285714285714	0.99189345686161	mlp
SBS96	precision	0.9	-4.4285245	0.986776859504132	0.995	0.999965012537174	mlp
SBS96	npv	0.9	713.2535	1	0.000833333333333333	0.993051534452808	mlp
