S	measure	min_value	threshold	precision	recall	npv	engine
SBS2.13	precision	0.9	-2.5023336	0.900244157656086	0.992692307692308	0.997919859864243	mlp
SBS2.13	npv	0.9	300.70627	1	0.598846153846154	0.900038299502106	mlp
SBS3.8	precision	0.9	-4.0769753	0.950802139037433	0.987777777777778	0.997828232971372	mlp
SBS3.8	npv	0.9	563.2115	1	0.371111111111111	0.900026471366805	mlp
SBS4	precision	0.9	-143.75186	0.933333333333333	1	1	mlp
SBS4	npv	0.9	37.421085	1	0.992232142857143	0.9009009009009	mlp
SBS5	precision	0.9	-1.8104563	0.988913525498891	0.991111111111111	0.999279149396288	mlp
SBS5	npv	0.9	16918.336	1	0.00111111111111111	0.925	mlp
SBS31	precision	0.9	-3.020249	0.969574036511156	0.956	0.996005084437988	mlp
SBS31	npv	0.9	196449.69	1	0.001	0.916666666666667	mlp
SBS44	precision	0.9	356.05002	1	1	0.999912288395755	mlp
SBS44	npv	0.9	97881.99	1	0.00166666666666667	0.95	mlp
SBS.D	precision	0.9	-4.7687483	0.910976819698746	0.505	0.991596638655462	mlp
SBS.D	npv	0.9	21689.465	1	0.005	0.983333333333333	mlp
