S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-0.7276486	0.900004967463117	0.949133008538949	0.978738778191373	mlp
SBS1	npv	0.9	3.1106713	0.985211915375363	0.729425323484729	0.900015483471394	mlp
SBS2.13	precision	0.9	-0.09660792	0.900081103000811	0.804786076867295	0.977412972030317	mlp
SBS2.13	npv	0.9	165.91591	1	0.0510514865844815	0.900013751165029	mlp
SBS4	precision	0.9	-12.186604	0.900900900900901	1	1	mlp
SBS4	npv	0.9	237.19888	1	0.005	0.996960486322188	mlp
SBS5	precision	0.9	0.08195114	0.906976744186046	0.0557142857142857	0.989932783843791	mlp
SBS5	npv	0.9	3.8910046	1	0.00142857142857143	0.98936170212766	mlp
SBS6	precision	0.9	-1.1550808	0.900900900900901	1	1	mlp
SBS6	npv	0.9	108.566414	1	0.01	0.998480243161094	mlp
SBS7	precision	0.9	-3.8205812	0.900007652865998	0.999727974429596	0.965665236051502	mlp
SBS7	npv	0.9	-2.7849672	0.922200362005194	0.996157638818049	0.900264783759929	mlp
SBS8.23	precision	0.9	1.6083245	0.901709401709402	0.703333333333333	0.998642609849467	mlp
SBS8.23	npv	0.9	11.660165	1	0.00333333333333333	0.995440729483283	mlp
SBS17	precision	0.9	-0.75694907	0.900044923629829	0.921520151785201	0.971558352259705	mlp
SBS17	npv	0.9	9.3134165	0.999334719334719	0.690910136261714	0.900011157393633	mlp
SBS18	precision	0.9	0.32904172	0.900459418070444	0.32739420935412	0.981457604224228	mlp
SBS18	npv	0.9	19.888288	1	0.000556792873051225	0.972705167173252	mlp
SBS38	precision	0.9	-0.7021762	0.900060630557801	0.835240060015004	0.968553796619265	mlp
SBS38	npv	0.9	6.134793	1	0.425637659414854	0.900003264666514	mlp
SBS96	precision	0.9	-3.4067874	0.900900900900901	1	1	mlp
SBS96	npv	0.9	473.0029	1	0.005	0.996960486322188	mlp
