S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-0.6590913	0.900217860270403	0.985455706013769	0.913687105646335	mlp
SBS1	npv	0.9	0.061062455	0.940603884826992	0.979543762063253	0.900059355987535	mlp
SBS2.13	precision	0.9	-1.1003252	0.900018908953389	0.969621349087113	0.969944322676542	mlp
SBS2.13	npv	0.9	1.9623446	0.988928622514662	0.880242418069313	0.900012753475322	mlp
SBS3.8	precision	0.9	0.01423192	0.900008939746111	0.987025931796271	0.946657709103124	mlp
SBS3.8	npv	0.9	0.5769704	0.929652646243915	0.970424353339107	0.900044154983994	mlp
SBS5	precision	0.9	-2.0044525	0.900025766555012	0.793863636363636	0.988376856118792	mlp
SBS5	npv	0.9	21.494175	1	0.000227272727272727	0.946341463414634	mlp
SBS10	precision	0.9	-61.065567	0.900073475385746	1	1	mlp
SBS10	npv	0.9	82783.305	1	0.000204081632653061	0.940243902439024	mlp
SBS14	precision	0.9	-4.201863	0.998652291105121	0.92625	0.999273917645032	mlp
SBS14	npv	0.9	1044.7393	1	0.00125	0.990243902439024	mlp
SBS17	precision	0.9	0.18527699	0.900074890339146	0.771834862385321	0.965755498664905	mlp
SBS17	npv	0.9	14.687824	0.999666999667	0.275412844036697	0.900010126838654	mlp
SBS18	precision	0.9	0.44690162	0.900008746228189	0.900737466354465	0.874900046874569	mlp
SBS18	npv	0.9	0.18815207	0.878753894080997	0.925925115434274	0.900002954122478	mlp
SBS26	precision	0.9	29.64458	1	1	0.999987654473402	mlp
SBS26	npv	0.9	1005.00214	1	0.001	0.98780487804878	mlp
SBS31	precision	0.9	-1.7450647	0.90021536252692	0.716571428571429	0.987477119232469	mlp
SBS31	npv	0.9	265.25073	1	0.000285714285714286	0.957317073170732	mlp
SBS44	precision	0.9	-3.2290537	0.900581428818145	0.997704081632653	0.999086992039211	mlp
SBS44	npv	0.9	177.56377	1	0.646326530612245	0.90000432694388	mlp
